"","X","ID_SOCIETE","NOM_SOCIETE","TYPE_SOC","FUSION","FAILLITE","CREATION","ID_CA","ID_BRANCHE","ANNEE","Ch_Aff","NOM_BRANCHE","PRESTATION","ID_EVENT","LIBELLE","TYPE_EVENT"
"1",1,"S1","SAFA","NON VIE","non","oui",1995,"CA9","B1",2011,"184393536","ACCIDENTS CORPORELS",146477972,"ev5","Création du pool TPV(Transport Public Voyageur) en CI","National"
"2",1,"S1","SAFA","NON VIE","non","oui",1995,"CA9","B1",2011,"184393536","ACCIDENTS CORPORELS",146477972,"ev6","Obligation aux compagnies d'assurances d'informer les autorités de controle sur les sinistres de grande ampleur relatifs aux accidents de la circulation","Sous regional"
"3",1,"S1","SAFA","NON VIE","non","oui",1995,"CA10","B1",2012,"402973411","ACCIDENTS CORPORELS",NA,"ev4","Organisation des oppérations de micro-assurance dans la zone CIMA","Sous regional"
"4",1,"S1","SAFA","NON VIE","non","oui",1995,"CA14","B1",2016,"697815112","ACCIDENTS CORPORELS",NA,"ev2","Obligation d’information de la commission régionale de contrôle des assurances(CRCA) par les commissaires aux comptes des sociétés d’assurance et de réassurance","Sous regional"
"5",1,"S1","SAFA","NON VIE","non","oui",1995,"CA14","B1",2016,"697815112","ACCIDENTS CORPORELS",NA,"ev3","Paiement obligatoire de la prime avant la prise d'effet du contrat d'assurance.","Sous regional"
"6",1,"S1","SAFA","NON VIE","non","oui",1995,"CA14","B1",2016,"697815112","ACCIDENTS CORPORELS",NA,"ev11","Augmentation du capital minimum des societes et du fonds d'etablissement des societes d'assurances mutuelles(1 à 5 milliards FCFA pour les societes anonymes et de 800 millions de FCFA pour les societes mutuelles)","Sous regional"
"7",1,"S1","SAFA","NON VIE","non","oui",1995,"CA14","B1",2016,"697815112","ACCIDENTS CORPORELS",NA,"ev12","Autorisation d’exercer des experts en évaluation évaluation immobilière auprès des entreprises d’assurances, de micro-assurance et de réassurance.","Sous regional"
"8",1,"S1","SAFA","NON VIE","non","oui",1995,"CA26","B2",2011,"1552627912","AUTOMOBILE",NA,"ev5","Création du pool TPV(Transport Public Voyageur) en CI","National"
"9",1,"S1","SAFA","NON VIE","non","oui",1995,"CA26","B2",2011,"1552627912","AUTOMOBILE",NA,"ev6","Obligation aux compagnies d'assurances d'informer les autorités de controle sur les sinistres de grande ampleur relatifs aux accidents de la circulation","Sous regional"
"10",1,"S1","SAFA","NON VIE","non","oui",1995,"CA27","B2",2012,"1620940646","AUTOMOBILE",NA,"ev4","Organisation des oppérations de micro-assurance dans la zone CIMA","Sous regional"
"11",1,"S1","SAFA","NON VIE","non","oui",1995,"CA31","B2",2016,"1605508295","AUTOMOBILE",NA,"ev2","Obligation d’information de la commission régionale de contrôle des assurances(CRCA) par les commissaires aux comptes des sociétés d’assurance et de réassurance","Sous regional"
"12",1,"S1","SAFA","NON VIE","non","oui",1995,"CA31","B2",2016,"1605508295","AUTOMOBILE",NA,"ev3","Paiement obligatoire de la prime avant la prise d'effet du contrat d'assurance.","Sous regional"
"13",1,"S1","SAFA","NON VIE","non","oui",1995,"CA31","B2",2016,"1605508295","AUTOMOBILE",NA,"ev11","Augmentation du capital minimum des societes et du fonds d'etablissement des societes d'assurances mutuelles(1 à 5 milliards FCFA pour les societes anonymes et de 800 millions de FCFA pour les societes mutuelles)","Sous regional"
"14",1,"S1","SAFA","NON VIE","non","oui",1995,"CA31","B2",2016,"1605508295","AUTOMOBILE",NA,"ev12","Autorisation d’exercer des experts en évaluation évaluation immobilière auprès des entreprises d’assurances, de micro-assurance et de réassurance.","Sous regional"
"15",1,"S1","SAFA","NON VIE","non","oui",1995,"CA43","B3",2011,"46265735","INCENDIE & AD",-2823773,"ev5","Création du pool TPV(Transport Public Voyageur) en CI","National"
"16",1,"S1","SAFA","NON VIE","non","oui",1995,"CA43","B3",2011,"46265735","INCENDIE & AD",-2823773,"ev6","Obligation aux compagnies d'assurances d'informer les autorités de controle sur les sinistres de grande ampleur relatifs aux accidents de la circulation","Sous regional"
"17",1,"S1","SAFA","NON VIE","non","oui",1995,"CA44","B3",2012,"176204674","INCENDIE & AD",NA,"ev4","Organisation des oppérations de micro-assurance dans la zone CIMA","Sous regional"
"18",1,"S1","SAFA","NON VIE","non","oui",1995,"CA48","B3",2016,"244080450","INCENDIE & AD",NA,"ev2","Obligation d’information de la commission régionale de contrôle des assurances(CRCA) par les commissaires aux comptes des sociétés d’assurance et de réassurance","Sous regional"
"19",1,"S1","SAFA","NON VIE","non","oui",1995,"CA48","B3",2016,"244080450","INCENDIE & AD",NA,"ev3","Paiement obligatoire de la prime avant la prise d'effet du contrat d'assurance.","Sous regional"
"20",1,"S1","SAFA","NON VIE","non","oui",1995,"CA48","B3",2016,"244080450","INCENDIE & AD",NA,"ev11","Augmentation du capital minimum des societes et du fonds d'etablissement des societes d'assurances mutuelles(1 à 5 milliards FCFA pour les societes anonymes et de 800 millions de FCFA pour les societes mutuelles)","Sous regional"
"21",1,"S1","SAFA","NON VIE","non","oui",1995,"CA48","B3",2016,"244080450","INCENDIE & AD",NA,"ev12","Autorisation d’exercer des experts en évaluation évaluation immobilière auprès des entreprises d’assurances, de micro-assurance et de réassurance.","Sous regional"
"22",1,"S1","SAFA","NON VIE","non","oui",1995,"CA60","B4",2011,"33489024","RESPONSABILITE CIVILE GENERALE",NA,"ev5","Création du pool TPV(Transport Public Voyageur) en CI","National"
"23",1,"S1","SAFA","NON VIE","non","oui",1995,"CA60","B4",2011,"33489024","RESPONSABILITE CIVILE GENERALE",NA,"ev6","Obligation aux compagnies d'assurances d'informer les autorités de controle sur les sinistres de grande ampleur relatifs aux accidents de la circulation","Sous regional"
"24",1,"S1","SAFA","NON VIE","non","oui",1995,"CA61","B4",2012,"98579317","RESPONSABILITE CIVILE GENERALE",-1224300,"ev4","Organisation des oppérations de micro-assurance dans la zone CIMA","Sous regional"
"25",1,"S1","SAFA","NON VIE","non","oui",1995,"CA65","B4",2016,"176233177","RESPONSABILITE CIVILE GENERALE",NA,"ev2","Obligation d’information de la commission régionale de contrôle des assurances(CRCA) par les commissaires aux comptes des sociétés d’assurance et de réassurance","Sous regional"
